Layers,Neurons,batch,optimiser,keras,epochs,dropout,train %,activation,RMSE,VAL_RMSE,Objective,mae,val_mae,R2,R2_v,final
2,"(6, 12)",10,Adam,normal,200,0.1,0.05,elu,0.348787673,0.543680109,0.553766109,0.31973848,0.42932296,0.878347159,0.518755201,0.69855118
1,11,10,Adam,normal,200,0,0.25,elu,0.291635587,0.770718361,0.468823026,0.22026825,0.5958682,0.914948684,0.481803158,0.698375921
1,12,10,Adam,uniform,200,0.2,0.05,elu,0.271885882,0.533594615,0.597259751,0.29518116,0.37733787,0.926078067,0.470604404,0.698341235
1,12,10,Adam,normal,200,0.1,0.25,elu,0.266809848,0.777909171,0.47764049,0.23833033,0.5757623,0.928812505,0.467288915,0.69805071
2,"(16, 12)",25,Adam,uniform,150,0.1,0.05,elu,0.335672623,0.598967988,0.532679694,0.30387983,0.37462392,0.88732389,0.506005836,0.696664863
1,16,10,Adam,normal,100,0,0.05,elu,0.324976998,0.548936914,0.563043044,0.2629406,0.39439136,0.894389951,0.498313969,0.69635196
1,16,10,Adam,normal,200,0.1,0.05,elu,0.24863283,0.538066678,0.606650246,0.22216214,0.37858063,0.938181716,0.454416092,0.696298904
1,6,10,Adam,normal,200,0.1,0.05,elu,0.363721663,0.582590545,0.526843896,0.35137317,0.42479715,0.867706552,0.524051275,0.695878913
1,16,10,Adam,uniform,200,0,0.25,tanh,0.159276559,0.817278642,0.511722399,0.115797706,0.6435961,0.974630978,0.416843774,0.695737376
1,6,10,RMSprop,uniform,200,0.1,0.2,elu,0.375718554,0.709253399,0.457514023,0.31217593,0.56364506,0.858835568,0.53222095,0.695528259
1,7,10,Adam,uniform,200,0.3,0.3,tanh,0.400156337,0.785078894,0.407382385,0.3868965,0.58754706,0.839874906,0.551005613,0.69544026
2,"(16, 12)",10,Adam,uniform,150,0.1,0.05,elu,0.271040193,0.544140442,0.592409682,0.268545,0.3573282,0.926537214,0.464125729,0.695331471
2,"(7, 16)",10,Adam,uniform,200,0.2,0.05,elu,0.330871261,0.484188827,0.592469956,0.33588022,0.36747757,0.890524209,0.499867694,0.695195952
1,8,10,Adam,normal,200,0.2,0.05,elu,0.299607285,0.518995699,0.590698508,0.28709757,0.38813743,0.910235475,0.479397666,0.69481657
1,7,10,Adam,normal,150,0,0.25,tanh,0.354209386,0.751721993,0.447034311,0.27648893,0.5902331,0.874535711,0.513486018,0.694010865
1,18,10,RMSprop,normal,150,0.1,0.05,relu,0.335930752,0.584099311,0.539984969,0.32296127,0.39975125,0.88715053,0.500420914,0.693785722
1,18,10,Adam,normal,200,0.1,0.25,sigmoid,0.358256294,0.747197349,0.447273179,0.33939576,0.552088,0.871652428,0.514580394,0.693116411
2,"(16, 12)",10,Adam,uniform,150,0.3,0.2,tanh,0.422876797,0.681375843,0.44787368,0.40396938,0.5703863,0.821175215,0.564830799,0.693003007
1,18,25,Adam,uniform,200,0.1,0.3,tanh,0.31276779,0.83145315,0.42788953,0.2766329,0.6349447,0.902176309,0.483764761,0.692970535
2,"(10, 12)",10,Adam,uniform,150,0.1,0.25,elu,0.292556603,0.781896704,0.462773347,0.3008951,0.58912116,0.914410634,0.470882838,0.692646736
1,17,10,Adam,normal,200,0,0.25,elu,0.192627874,0.813027492,0.497172317,0.14657173,0.5981977,0.962894502,0.422226128,0.692560315
2,"(16, 12)",10,Adam,uniform,200,0,0.05,elu,0.205199575,0.561000151,0.616900137,0.14882609,0.37152582,0.957893134,0.427157955,0.692525545
1,18,10,RMSprop,normal,150,0.1,0.05,elu,0.294761805,0.569152151,0.568043022,0.3204416,0.4175366,0.913115478,0.471563412,0.692339445
1,16,10,Adam,uniform,200,0,0.05,elu,0.215787286,0.568146141,0.608033287,0.1525911,0.41864213,0.953435847,0.429632133,0.69153399
1,18,10,Adam,normal,200,0.1,0.2,tanh,0.25732687,0.772792388,0.484940371,0.2687232,0.6090601,0.933782882,0.449040024,0.691411453
2,"(15, 16)",10,Adam,normal,150,0.1,0.05,elu,0.27413034,0.605426497,0.560221582,0.29458424,0.39095935,0.924852557,0.456829728,0.690841143
2,"(16, 12)",10,Adam,normal,200,0.1,0.25,elu,0.268220296,0.791103803,0.47033795,0.271414,0.58757734,0.928057873,0.452185758,0.690121815
2,"(20, 11)",10,Adam,uniform,150,0,0.3,relu,0.278000574,0.855343875,0.433327776,0.20989232,0.6144172,0.922715681,0.457210666,0.689963173
1,18,10,RMSprop,uniform,150,0.1,0.05,relu,0.286573437,0.503720551,0.604853006,0.31791154,0.31538004,0.917875665,0.461556951,0.689716308
1,18,10,Adam,uniform,200,0.4,0.05,tanh,0.327403378,0.539305102,0.56664576,0.3353581,0.3717725,0.892807028,0.48633364,0.689570334
2,"(16, 12)",10,Adam,normal,200,0.2,0.2,elu,0.276393283,0.766344958,0.478630879,0.30835283,0.58515704,0.923606753,0.455315726,0.68946124
1,17,10,RMSprop,uniform,100,0,0.05,elu,0.359670231,0.581022073,0.529653848,0.3393549,0.41086107,0.870637325,0.508215587,0.689426456
2,"(10, 15)",10,Adam,uniform,200,0,0.05,elu,0.224877095,0.631534936,0.571793984,0.16890793,0.41615075,0.949430292,0.428460625,0.688945458
1,7,10,Adam,uniform,200,0,0.25,tanh,0.289878015,0.785234013,0.462443986,0.20758119,0.5969024,0.915970737,0.46160552,0.688788128
1,16,10,RMSprop,uniform,150,0.1,0.05,sigmoid,0.453132437,0.588103604,0.47938198,0.3921761,0.4255105,0.794670994,0.58231772,0.688494357
2,"(11, 19)",10,RMSprop,normal,150,0.1,0.05,elu,0.327583193,0.602995929,0.534710439,0.3173194,0.40993786,0.892689251,0.484283136,0.688486194
2,"(16, 12)",25,Adam,uniform,150,0.1,0.05,elu,0.319233126,0.5439814,0.568392737,0.29607686,0.3815281,0.898090211,0.477613683,0.687851947
1,9,10,Adam,uniform,200,0,0.3,elu,0.285351094,0.850537242,0.432055832,0.20879252,0.63352495,0.918574753,0.457028039,0.687801396
3,"(18, 17, 19)",10,Adam,normal,200,0.1,0.25,tanh,0.302779953,0.777925835,0.459647106,0.31924066,0.5880454,0.9083243,0.465643478,0.686983889
1,19,10,Adam,uniform,200,0,0.25,relu,0.238219722,0.808451304,0.476664487,0.1728752,0.5903125,0.943251364,0.429822976,0.68653717
1,16,10,Adam,normal,200,0.2,0.05,elu,0.249238923,0.465007649,0.642876714,0.2713194,0.35921484,0.937879959,0.432927412,0.685403686
1,7,10,Adam,normal,150,0.1,0.05,elu,0.398790782,0.567582371,0.516813424,0.33909363,0.3773046,0.840965912,0.529208933,0.685087422
